[Year],[Month],[geo],[GeoName],[COICOP],[COICOP_Name],[Value]
2018,2,EU27_2020,EU,CP01,Food & non-alcoholic beverages,104.06
2018,2,EU27_2020,EU,CP03,Clothing & footwear,91.18
2018,2,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",102.7
2018,2,EU27_2020,EU,CP05,Furnishings & household equipment,100.31
2018,2,EU27_2020,EU,CP07,Transport,102.74
2018,2,EU27_2020,EU,CP10,Education,100.58
2018,2,EU27_2020,EU,CP11,Restaurants & hotels,104.19
2018,3,EU27_2020,EU,CP00,All-items HICP,102.88
2018,3,EU27_2020,EU,CP01,Food & non-alcoholic beverages,104.19
2018,3,EU27_2020,EU,CP03,Clothing & footwear,102.83
2018,3,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",102.57
2018,3,EU27_2020,EU,CP05,Furnishings & household equipment,100.71
2018,3,EU27_2020,EU,CP07,Transport,102.72
2018,3,EU27_2020,EU,CP10,Education,100.65
2018,3,EU27_2020,EU,CP11,Restaurants & hotels,104.97
2018,4,EU27_2020,EU,CP00,All-items HICP,103.32
2018,4,EU27_2020,EU,CP01,Food & non-alcoholic beverages,104.4
2018,4,EU27_2020,EU,CP03,Clothing & footwear,105.59
2018,4,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",102.47
2018,4,EU27_2020,EU,CP05,Furnishings & household equipment,100.81
2018,4,EU27_2020,EU,CP07,Transport,103.77
2018,4,EU27_2020,EU,CP10,Education,100.72
2018,4,EU27_2020,EU,CP11,Restaurants & hotels,105.6
2018,5,EU27_2020,EU,CP00,All-items HICP,103.9
2018,5,EU27_2020,EU,CP01,Food & non-alcoholic beverages,104.88
2018,5,EU27_2020,EU,CP03,Clothing & footwear,105.64
2018,5,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",102.84
2018,5,EU27_2020,EU,CP05,Furnishings & household equipment,100.84
2018,5,EU27_2020,EU,CP07,Transport,104.94
2018,5,EU27_2020,EU,CP10,Education,100.76
2018,5,EU27_2020,EU,CP11,Restaurants & hotels,106.46
2018,6,EU27_2020,EU,CP00,All-items HICP,104.03
2018,6,EU27_2020,EU,CP01,Food & non-alcoholic beverages,104.71
2018,6,EU27_2020,EU,CP03,Clothing & footwear,104.34
2018,6,EU27_2020,EU,CP04,"Housing, water, electricity, gas & other fuels",102.97
